"name";"nickname";"wins";"losses";"draws";"height_cm";"weight_in_kg";"reach_in_cm";"stance";"date_of_birth";"significant_strikes_landed_per_minute";"significant_striking_accuracy";"significant_strikes_absorbed_per_minute";"significant_strike_defence";"average_takedowns_landed_per_15_minutes";"takedown_accuracy";"takedown_defense";"average_submissions_attempted_per_15_minutes";"performance_metric"
"Richard Crunkilton";"Cleat";19;4;0;170.18;70.31;0.0;"Orthodox";"1979-11-25";1.72;41.0;1.45;58.0;4.08;61.0;65.0;1.3;-4.30435
"Richard Walsh";"Filthy Rich";9;5;0;182.88;77.11;185.42;"Orthodox";"1988-12-01";3.84;46.0;2.72;58.0;1.55;40.0;66.0;0.2;-19.2143
"Richie Vaculik";"Vas";10;4;0;167.64;56.7;175.26;"Orthodox";"1983-06-19";3.69;46.0;4.09;57.0;3.0;45.0;31.0;1.0;-12.8571
"Rick Story";"The Horror";19;9;0;175.26;77.11;180.34;"Southpaw";"1984-08-28";3.8;41.0;2.17;62.0;2.53;48.0;63.0;0.9;-32.1071
"Ricky Glenn";"The Gladiator";22;8;2;182.88;70.31;177.8;"Southpaw";"1989-04-12";3.94;43.0;4.1;51.0;0.55;13.0;68.0;0.4;-24.875
"Ricky Johnson";"";10;6;0;172.72;65.77;0.0;"Orthodox";"";1.83;25.0;6.3;36.0;0.0;0.0;0.0;0.0;-23.75
"Ricky Simon";"";20;4;0;167.64;61.23;175.26;"Orthodox";"1992-08-31";3.01;44.0;3.23;62.0;5.84;50.0;75.0;0.4;-3.33333
"Ricky Turcios";"";13;3;0;175.26;61.23;180.34;"Orthodox";"1993-06-05";5.08;37.0;3.7;55.0;1.0;25.0;45.0;0.2;-4.4375
"Rin Nakai";"";19;2;1;154.94;61.23;0.0;"Orthodox";"1986-10-22";1.57;33.0;3.9;60.0;3.0;18.0;75.0;0.5;6.40909
"Rinat Fakhretdinov";"Gladiator";21;1;1;182.88;77.11;187.96;"Orthodox";"1991-09-28";4.05;56.0;2.16;52.0;4.25;46.0;100.0;0.3;14.1739
"Rinya Nakamura";"Hybred";8;0;0;170.18;61.23;172.72;"Southpaw";"1995-03-23";4.23;54.0;1.78;70.0;4.23;85.0;100.0;2.8;8.0
"Roan Carneiro";"Jucao";21;11;0;180.34;77.11;193.04;"Orthodox";"1978-06-02";1.46;46.0;1.82;62.0;3.05;42.0;83.0;1.4;-41.2188
"Rob Broughton";"The Bear";16;7;1;187.96;120.2;187.96;"Orthodox";"1983-03-03";2.83;60.0;2.54;51.0;0.0;0.0;26.0;3.2;-24.3333
"Rob Emerson";"The Saint";18;12;0;175.26;70.31;177.8;"Orthodox";"1981-07-30";2.5;30.0;2.83;64.0;2.02;52.0;65.0;0.4;-49.2
"Rob Font";"";20;8;0;172.72;61.23;180.34;"Orthodox";"1987-06-25";5.53;45.0;3.65;56.0;0.89;35.0;46.0;0.3;-25.7143
"Rob Kimmons";"The Rosedale Reaper";25;9;0;177.8;83.91;185.42;"Orthodox";"1981-01-30";1.86;48.0;4.79;38.0;2.08;46.0;25.0;2.4;-26.6176
"Rob MacDonald";"Maximus";5;4;0;190.5;92.99;198.12;"Orthodox";"1978-09-05";1.8;50.0;2.04;46.0;7.19;80.0;80.0;5.4;-17.2222
"Robert Bryczek";"";17;5;0;0.0;83.91;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-11.8636
"Robert Drysdale";"";7;0;0;190.5;92.99;0.0;"Orthodox";"1981-10-05";0.0;0.0;0.0;0.0;7.32;100.0;0.0;21.9;7.0
"Robert McDaniel";"Bubba";28;10;0;190.5;83.91;190.5;"Southpaw";"1983-05-03";1.64;44.0;1.98;56.0;0.93;50.0;50.0;1.4;-29.3684
"Robert Sanchez";"Littlefury";8;2;0;167.64;56.7;167.64;"Orthodox";"1986-03-05";0.96;40.0;1.78;46.0;3.61;62.0;50.0;0.7;-3.6
"Rodney Wallace";"Shonuff the Master";26;15;1;175.26;92.99;182.88;"Switch";"1981-11-21";1.13;46.0;3.44;45.0;6.0;54.0;28.0;1.0;-58.9048
"Rodolfo Bellato";"Trator";12;2;0;190.5;92.99;195.58;"Orthodox";"1996-02-05";6.47;61.0;5.9;44.0;1.09;25.0;100.0;0.5;0.285714
"Rodolfo Marques Diniz";"";23;9;1;167.64;61.23;0.0;"";"";1.08;32.0;2.36;33.0;0.0;0.0;50.0;1.8;-28.9697
"Rodolfo Vieira";"";9;2;0;182.88;83.91;185.42;"Orthodox";"1989-09-25";3.36;54.0;4.84;48.0;3.7;26.0;100.0;1.4;-2.63636
"Rodrigo Damm";"";13;9;0;170.18;70.31;180.34;"Orthodox";"1980-02-03";3.5;36.0;5.61;57.0;0.44;16.0;80.0;0.3;-37.3182
"Rodrigo de Lima";"Monstro";8;3;1;170.18;70.31;0.0;"Orthodox";"1991-03-12";1.29;33.0;5.5;32.0;2.66;36.0;0.0;1.3;-9.66667
"Rodrigo Gracie";"";6;2;1;182.88;83.01;0.0;"Orthodox";"1975-04-11";1.34;51.0;0.86;46.0;1.49;50.0;75.0;0.4;-6.0
"Rodrigo Gripp de Sousa";"Riscado";7;9;0;180.34;92.99;0.0;"Orthodox";"";0.48;23.0;4.81;52.0;0.0;0.0;0.0;9.6;-41.9375
"Rodrigo Nascimento";"Ze Colmeia";11;1;0;187.96;111.58;203.2;"Orthodox";"1992-11-26";4.31;48.0;4.76;43.0;1.2;33.0;77.0;0.7;5.08333
"Roger Bowling";"Relentless";12;6;0;175.26;70.31;172.72;"Orthodox";"1982-12-05";3.9;47.0;3.86;51.0;3.09;43.0;27.0;0.9;-22.0
"Roger Carroll";"The Leprechaun";16;14;0;177.8;77.11;0.0;"";"";7.62;61.0;10.48;43.0;0.0;0.0;100.0;0.0;-61.4667
"Roger Gracie";"";8;2;0;193.04;83.91;200.66;"Orthodox";"1981-09-26";1.78;35.0;1.79;61.0;1.87;53.0;60.0;1.9;-3.6
"Roger Huerta";"El Matador";23;9;1;175.26;70.31;177.8;"Orthodox";"1983-05-20";3.64;36.0;2.33;56.0;2.13;46.0;52.0;0.5;-28.9697
"Roger Narvaez";"Silverback";8;3;0;190.5;83.91;0.0;"Southpaw";"1983-09-09";2.12;37.0;3.32;64.0;0.0;0.0;50.0;0.9;-9.18182
"Roger Zapata";"Viva";4;2;0;180.34;77.11;0.0;"Southpaw";"1986-05-09";2.6;51.0;2.13;36.0;0.0;0.0;81.0;1.4;-7.33333
"Rogerio Bontorin";"";16;4;0;165.1;56.7;170.18;"Orthodox";"1992-04-25";2.63;52.0;3.27;50.0;2.9;60.0;51.0;1.0;-7.2
"Rogerio Nogueira";"Minotouro";23;10;0;187.96;92.99;190.5;"Southpaw";"1976-06-02";2.43;35.0;2.34;59.0;0.64;44.0;62.0;0.8;-33.9697
"Roland Delorme";"";9;5;0;175.26;61.23;180.34;"Orthodox";"1983-12-18";2.28;44.0;4.32;40.0;2.51;34.0;42.0;1.6;-19.2143
"Rolando Delgado";"Roli";11;6;1;190.5;70.31;195.58;"Orthodox";"1981-11-22";1.56;40.0;1.83;62.0;1.17;22.0;0.0;3.5;-23.2778
"Rolles Gracie";"";8;4;0;193.04;109.77;0.0;"Orthodox";"1978-07-14";2.3;32.0;3.38;55.0;2.3;10.0;0.0;0.0;-14.6667
"Roman Dolidze";"";12;2;0;187.96;83.91;193.04;"Orthodox";"1988-07-15";3.02;44.0;3.01;55.0;1.72;50.0;33.0;1.7;0.285714
"Roman Mitichyan";"";8;3;0;177.8;77.11;0.0;"Orthodox";"1978-09-04";0.26;16.0;2.7;43.0;1.93;100.0;25.0;1.9;-9.18182
"Roman Zentsov";"The Russian Hammer";18;12;0;185.42;104.33;0.0;"Orthodox";"1973-09-10";1.18;36.0;0.53;70.0;1.6;100.0;33.0;3.2;-49.2
"Ron Keslar";"";11;9;0;0.0;83.91;0.0;"";"";0.0;0.0;2.05;60.0;0.0;0.0;100.0;7.7;-38.95
"Ron Waterman";"H20";16;6;2;187.96;127.01;0.0;"Orthodox";"1965-11-23";0.84;50.0;1.37;42.0;4.19;69.0;50.0;2.8;-19.3333
"Ronal Siahaan";"Naga Sakti";7;1;0;170.18;56.7;180.34;"Southpaw";"1996-05-05";0.63;66.0;6.17;25.0;0.0;0.0;25.0;0.0;1.125
"Ronaldo Candido";"Pacman";6;0;0;167.64;56.7;0.0;"Southpaw";"1989-04-24";1.67;42.0;3.87;52.0;8.0;53.0;0.0;5.0;6.0
"Ronda Rousey";"Rowdy";12;2;0;170.18;61.23;167.64;"Orthodox";"1987-02-01";4.17;52.0;4.14;44.0;6.26;68.0;50.0;4.8;0.285714
"Ronnie Lawrence";"The Heat";8;2;0;172.72;61.23;172.72;"Switch";"1992-06-13";2.78;56.0;1.75;52.0;6.75;77.0;45.0;0.2;-3.6
"Ronny Markes";"";17;5;0;185.42;83.91;190.5;"Orthodox";"1988-04-21";2.17;53.0;2.43;45.0;3.13;40.0;100.0;0.5;-11.8636
"Rony Jason";"";14;7;0;170.18;65.77;185.42;"Orthodox";"1984-03-21";2.04;44.0;3.14;53.0;0.59;30.0;36.0;0.8;-25.6667
"Ronys Torres";"";35;5;0;170.18;70.31;0.0;"Orthodox";"1975-08-13";0.87;26.0;1.93;57.0;4.0;47.0;16.0;0.5;5.625
"Roosevelt Roberts";"The Predator";12;5;0;187.96;70.31;185.42;"Orthodox";"1994-02-11";3.05;44.0;3.12;52.0;1.39;29.0;52.0;0.9;-16.5294
"Roque Martinez";"";15;8;2;177.8;113.4;182.88;"Orthodox";"1986-03-04";3.28;53.0;4.9;56.0;0.38;50.0;53.0;0.4;-31.0
"Rory MacDonald";"Red King";19;4;0;182.88;77.11;193.04;"Orthodox";"1989-07-22";3.75;42.0;2.8;62.0;1.77;47.0;88.0;0.4;-4.30435
"Rory Singer";"Outburst";11;9;0;187.96;83.91;195.58;"Orthodox";"1976-05-28";2.55;39.0;2.42;63.0;0.39;25.0;64.0;0.8;-38.95
"Rose Namajunas";"Thug";12;6;0;165.1;56.7;165.1;"Orthodox";"1992-06-29";3.68;40.0;3.53;62.0;1.49;48.0;60.0;0.6;-22.0
"Roshaun Jones";"";2;6;0;172.72;61.23;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-29.5
"Ross Ebanez";"The Boss";20;10;0;175.26;69.85;0.0;"Southpaw";"1975-05-18";0.74;50.0;0.74;62.0;3.7;100.0;0.0;0.0;-36.6667
"Rousimar Palhares";"Toquinho";19;8;0;172.72;77.11;180.34;"Orthodox";"1980-02-26";1.75;51.0;2.04;59.0;3.93;45.0;0.0;4.1;-26.6296
"Roxanne Modafferi";"The Happy Warrior";25;21;0;170.18;56.7;175.26;"Orthodox";"1982-09-24";3.35;30.0;5.7;51.0;1.35;23.0;30.0;0.1;-91.413
"Roy Nelson";"Big Country";22;14;0;182.88;119.29;185.42;"Orthodox";"1976-06-20";2.18;36.0;4.79;46.0;1.14;27.0;65.0;0.1;-56.5556
"Roybert Echeverria";"The Unbroken";7;1;0;165.1;56.7;170.18;"Switch";"1995-08-21";2.95;53.0;2.52;57.0;0.0;0.0;71.0;2.6;1.125
"Royce Gracie";"";15;2;3;185.42;79.38;0.0;"Southpaw";"1966-12-12";0.88;41.0;1.13;37.0;0.0;0.0;66.0;0.8;1.25
"Ruan Potts";"Fangzz";11;6;0;187.96;112.04;190.5;"Orthodox";"1978-02-23";0.85;37.0;5.92;22.0;0.75;16.0;33.0;2.3;-22.8824
"Rubens Xavier";"Macula";5;3;0;190.5;99.79;0.0;"Orthodox";"";0.77;42.0;1.82;21.0;2.1;40.0;25.0;1.1;-11.875
"Rudyard Moncayo";"";0;3;0;177.8;88.45;0.0;"Orthodox";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-15.0
"Russell Doane";"";15;8;0;170.18;61.23;177.8;"Orthodox";"1986-08-13";1.75;40.0;1.68;53.0;2.11;45.0;52.0;0.8;-30.2174
"Rustam Khabilov";"Tiger";24;4;0;172.72;70.31;185.42;"Orthodox";"1986-11-04";1.98;34.0;2.16;65.0;3.95;41.0;61.0;0.1;0.571429
"Ryan Bader";"Darth";23;5;0;187.96;92.99;187.96;"Orthodox";"1983-06-07";2.82;43.0;1.39;71.0;3.37;44.0;80.0;0.4;-6.10714
"Ryan Benoit";"Baby Face";10;8;0;165.1;56.7;172.72;"Orthodox";"1989-08-25";2.88;39.0;3.65;58.0;0.28;22.0;72.0;0.4;-34.4444
"Ryan Couture";"";11;5;0;177.8;70.31;185.42;"Orthodox";"1982-08-27";3.54;45.0;2.87;54.0;1.55;29.0;46.0;1.3;-17.4375
"Ryan Diaz";"";13;14;0;0.0;65.77;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-63.7407
"Ryan Gracie";"";5;2;0;175.26;90.72;0.0;"Orthodox";"1974-08-14";0.82;61.0;0.5;40.0;2.83;75.0;25.0;0.9;-6.42857
"Ryan Hall";"The Wizard";9;2;0;177.8;65.77;177.8;"Southpaw";"1985-02-22";2.38;50.0;1.33;65.0;0.22;9.0;0.0;2.2;-2.63636
"Ryan Healy";"The Irish Assassin";25;14;1;185.42;70.31;0.0;"Orthodox";"1983-07-20";1.67;35.0;3.0;38.0;3.0;50.0;40.0;1.0;-54.375
"Ryan Jensen";"";21;8;0;185.42;83.91;193.04;"Orthodox";"1977-09-20";2.84;39.0;2.99;59.0;1.55;50.0;31.0;1.9;-24.7931
"Ryan Jimmo";"The Big Deal";19;5;0;185.42;92.99;185.42;"Orthodox";"1981-11-27";3.12;66.0;2.77;46.0;0.45;28.0;87.0;0.0;-9.95833
"Ryan LaFlare";"";14;3;0;185.42;77.11;187.96;"Southpaw";"1983-10-01";2.89;40.0;1.86;63.0;2.13;44.0;58.0;0.2;-3.47059
"Ryan Quinn";"";13;7;1;172.72;65.77;0.0;"";"";2.31;41.0;1.67;48.0;0.0;0.0;0.0;1.9;-26.9524
"Ryan Spann";"Superman";21;9;0;195.58;92.99;200.66;"Orthodox";"1991-08-24";3.42;40.0;3.91;45.0;1.29;35.0;47.0;1.5;-30.3
"Ryan Thomas";"The Tank Engine";20;8;0;182.88;77.11;0.0;"Orthodox";"1984-11-05";2.01;36.0;4.17;30.0;5.59;33.0;0.0;2.2;-25.7143
"Ryo Chonan";"Piranah";22;13;0;175.26;77.11;177.8;"Orthodox";"1976-10-08";2.57;43.0;2.25;60.0;0.61;41.0;39.0;0.3;-51.1714
"Ryuichi Murata";"";8;3;1;172.72;83.01;0.0;"Orthodox";"";0.84;36.0;1.89;50.0;4.74;50.0;100.0;3.2;-9.66667
"Ryuki Ueyama";"";12;18;5;180.34;81.65;0.0;"Southpaw";"1976-04-17";0.13;21.0;1.4;46.0;0.5;100.0;0.0;1.5;-85.8857
"Ryuta Sakurai";"";24;24;6;170.18;83.01;0.0;"Orthodox";"";1.8;48.0;3.44;58.0;0.52;100.0;36.0;1.6;-109.333
"Saad Awad";"Assassin";20;9;0;180.34;70.31;0.0;"";"";2.13;26.0;1.87;60.0;0.5;16.0;100.0;0.5;-31.2069
"Sabina Mazo";"Colombian Queen";9;4;0;170.18;56.7;177.8;"Orthodox";"1997-03-25";6.1;43.0;4.35;57.0;0.65;80.0;59.0;0.2;-13.7692
"Sage Northcutt";"Super";11;2;0;182.88;77.11;180.34;"Orthodox";"1996-03-01";3.58;52.0;1.96;58.0;1.81;34.0;41.0;0.6;-0.692308
"Sai Wang";"The Fire Kylin";20;6;1;182.88;77.11;0.0;"Southpaw";"1986-01-14";3.17;46.0;2.27;53.0;0.0;0.0;77.0;0.0;-15.1852
"Said Nurmagomedov";"";18;3;0;172.72;61.23;177.8;"Orthodox";"1992-04-05";3.55;47.0;2.13;57.0;1.01;16.0;66.0;1.4;0.428571
"Saidyokub Kakhramonov";"";10;3;0;172.72;61.23;175.26;"Orthodox";"1995-11-14";2.05;51.0;0.88;58.0;6.63;48.0;83.0;1.9;-7.30769
"Saimon Oliveira";"";18;5;0;162.56;61.23;182.88;"Orthodox";"1991-04-21";2.82;41.0;3.91;48.0;1.21;25.0;35.0;1.6;-10.913
"Sam Alvey";"Smile'N";33;18;1;187.96;83.91;190.5;"Southpaw";"1986-05-06";3.28;44.0;3.63;52.0;0.06;14.0;82.0;0.1;-69.0577
"Sam Greco";"";3;1;1;187.96;92.99;0.0;"Orthodox";"1967-05-03";2.4;75.0;1.33;53.0;0.0;0.0;25.0;1.0;-3.2
"Sam Hoger";"The Alaskan Assassin";10;4;0;187.96;92.99;0.0;"Orthodox";"1980-06-28";1.07;25.0;2.25;57.0;1.12;38.0;29.0;1.3;-12.8571
"Sam Hughes";"Sampage";8;5;0;165.1;52.16;162.56;"Orthodox";"1992-06-28";3.79;46.0;4.23;54.0;1.12;41.0;57.0;0.0;-20.0769
"Sam Patterson";"";10;2;1;190.5;70.31;198.12;"Orthodox";"1996-04-30";2.56;36.0;3.98;44.0;0.0;0.0;33.0;2.8;-2.30769
"Sam Sicilia";"";15;8;0;172.72;65.77;170.18;"Orthodox";"1986-02-01";2.46;33.0;3.55;59.0;1.45;43.0;70.0;0.9;-30.2174
"Sam Spengler";"The Ram";9;5;0;180.34;83.91;0.0;"Orthodox";"";3.27;62.0;3.27;54.0;1.75;11.0;75.0;1.8;-19.2143
"Sam Stout";"Hands of Stone";20;12;1;175.26;70.31;177.8;"Orthodox";"1984-04-23";4.17;28.0;4.08;57.0;0.63;38.0;77.0;0.1;-47.8788
"Sam Watford";"";2;2;0;0.0;70.31;0.0;"";"";0.13;18.0;0.73;62.0;2.0;40.0;60.0;1.0;-9.0
"Samandar Murodov";"";8;0;0;185.42;77.11;190.5;"Orthodox";"1999-08-28";3.41;80.0;0.8;0.0;3.01;100.0;0.0;3.0;8.0
"Sammy Morgan";"The Squeeze";18;12;0;177.8;77.11;0.0;"Orthodox";"1981-09-28";1.05;22.0;3.74;40.0;1.43;20.0;0.0;0.5;-49.2
"Samy Schiavo";"";10;6;0;172.72;70.31;0.0;"Orthodox";"1975-12-24";1.68;34.0;2.62;38.0;0.94;50.0;66.0;0.9;-23.75
"Sanae Kikuta";"";31;9;3;175.26;90.72;0.0;"Orthodox";"1971-09-10";0.7;45.0;0.9;52.0;1.6;63.0;25.0;1.8;-22.6512
"SangHoon Yoo";"Assassin";8;2;0;182.88;77.11;187.96;"Orthodox";"1990-01-18";4.83;65.0;6.11;40.0;0.53;100.0;69.0;0.5;-3.6
"Sangwook Kim";"Frogman";9;3;0;182.88;70.31;182.88;"Orthodox";"1993-10-17";5.57;51.0;7.94;48.0;1.65;18.0;66.0;0.8;-8.25
"Santo Curatolo";"";6;2;0;160.02;56.7;157.48;"Southpaw";"1995-01-18";1.4;39.0;6.07;34.0;2.0;33.0;100.0;0.0;-5.5
"Sara McMann";"";13;6;0;167.64;61.23;167.64;"Orthodox";"1980-09-24";2.26;46.0;1.92;47.0;4.38;65.0;50.0;0.5;-21.1053
"Sarah Alpar";"Too Sweet";9;6;0;162.56;61.23;160.02;"Southpaw";"1991-06-01";2.36;44.0;6.06;38.0;1.61;26.0;20.0;0.4;-24.6
"Sarah Kaufman";"";18;4;0;165.1;61.23;167.64;"Orthodox";"1985-09-20";6.65;46.0;4.0;62.0;0.38;57.0;81.0;0.0;-5.27273
"Sarah Moras";"Cheesecake";6;8;0;170.18;61.23;170.18;"Orthodox";"1988-04-30";2.28;34.0;3.58;50.0;0.67;21.0;33.0;0.8;-37.4286
"Satoru Kitaoka";"";40;14;9;167.64;69.85;0.0;"";"";0.68;33.0;2.15;45.0;0.62;10.0;27.0;2.1;-44.6032
"Satoshi Honma";"";4;6;3;185.42;92.99;0.0;"Orthodox";"1968-05-19";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-28.7692
"Satoshi Ishii";"";15;8;1;180.34;108.86;0.0;"Orthodox";"1986-12-19";1.41;36.0;1.58;63.0;3.47;52.0;100.0;1.6;-30.625
"Saul Elizondo";"";6;8;0;170.18;61.23;0.0;"";"";2.07;30.0;4.93;48.0;2.0;100.0;66.0;1.0;-37.4286
"Scott Askham";"";14;4;0;190.5;83.91;190.5;"Southpaw";"1988-05-20";3.03;46.0;3.52;52.0;0.44;18.0;65.0;0.7;-9.11111
"Scott Fiedler";"";0;1;0;193.04;106.59;0.0;"Orthodox";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-5.0
"Scott Graham";"";3;1;0;193.04;83.91;0.0;"Orthodox";"";0.91;42.0;2.27;28.0;0.0;0.0;0.0;0.0;-2.75
"Scott Holtzman";"Hot Sauce";14;6;0;175.26;70.31;175.26;"Orthodox";"1983-09-30";4.32;47.0;3.66;55.0;1.88;56.0;67.0;0.2;-20.2
"Scott Jorgensen";"Young Guns";15;12;0;165.1;61.23;167.64;"Orthodox";"1982-09-17";3.37;40.0;3.41;65.0;2.61;45.0;59.0;0.7;-51.6667
"Scott Shaffer";"";0;1;0;170.18;65.77;0.0;"Orthodox";"";2.4;67.0;0.53;50.0;0.0;0.0;72.0;3.0;-5.0
"Scott Smith";"Hands of Steel";18;11;0;182.88;83.91;177.8;"Orthodox";"1979-05-21";1.9;27.0;5.87;50.0;0.12;6.0;58.0;0.5;-43.8276
"Sean Bassett";"";0;4;0;0.0;70.31;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-20.0
"Sean Brady";"";16;1;0;177.8;77.11;182.88;"Orthodox";"1992-11-23";3.77;53.0;3.55;61.0;3.29;57.0;87.0;1.2;10.0588
"Sean Holden";"";5;2;0;177.8;77.11;0.0;"";"";2.4;59.0;0.6;59.0;5.0;83.0;0.0;2.0;-6.42857
"Sean McCorkle";"";17;7;0;200.66;120.2;205.74;"Orthodox";"1976-07-17";0.85;44.0;2.48;52.0;2.12;40.0;33.0;4.2;-22.9583
"Sean O'Connell";"The Real OC";17;9;0;185.42;92.99;187.96;"Orthodox";"1983-09-02";5.46;48.0;6.77;45.0;0.0;0.0;30.0;0.5;-33.8846
"Sean O'Malley";"Sugar";17;1;0;180.34;61.23;182.88;"Switch";"1994-10-24";7.25;61.0;3.51;61.0;0.43;42.0;62.0;0.4;11.0556
"Sean Pierson";"The Punisher";14;6;0;182.88;77.11;193.04;"Southpaw";"1976-03-10";3.84;39.0;3.73;64.0;0.39;18.0;66.0;0.4;-20.2
"Sean Santella";"Shorty Rock";17;6;1;165.1;56.7;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-17.9583
"Sean Sherk";"The Muscle Shark";36;4;1;167.64;70.31;170.18;"Orthodox";"1973-08-05";2.17;35.0;2.71;55.0;4.09;46.0;56.0;0.4;11.6098
"Sean Strickland";"";28;5;0;185.42;83.91;193.04;"Orthodox";"1991-02-27";5.82;41.0;4.24;63.0;0.92;64.0;84.0;0.2;-1.24242
"Sean Woodson";"The Sniper";10;1;1;187.96;65.77;198.12;"Orthodox";"1992-06-07";5.41;46.0;4.0;57.0;0.71;80.0;83.0;0.5;3.33333
"Sedriques Dumas";"The Reaper";9;1;0;187.96;83.91;200.66;"Orthodox";"1995-08-06";1.88;49.0;2.01;56.0;0.77;50.0;40.0;0.4;3.1
"Semmy Schilt";"Hightower";26;14;1;208.28;120.2;0.0;"Orthodox";"1973-10-27";1.2;50.0;1.31;53.0;0.0;0.0;47.0;1.1;-53.5122
"Seo Hee Ham";"";17;8;0;157.48;52.16;157.48;"Southpaw";"1987-03-08";4.2;39.0;5.15;61.0;0.0;0.0;66.0;0.2;-28.44
"Sergei Kharitonov";"";26;6;0;182.88;111.13;0.0;"Orthodox";"1980-08-18";3.9;44.0;3.03;54.0;1.16;53.0;70.0;1.0;-8.875
"Serghei Spivac";"Polar Bear";16;4;0;190.5;117.93;198.12;"Orthodox";"1995-01-24";3.54;49.0;3.79;49.0;4.56;64.0;70.0;0.5;-7.2
"Sergio Gomez";"";10;3;0;167.64;70.31;0.0;"Orthodox";"1982-04-29";1.5;42.0;1.16;56.0;2.57;66.0;31.0;0.0;-7.30769
"Sergio Moraes";"The Panther";14;6;1;182.88;77.11;182.88;"Orthodox";"1982-07-23";2.42;42.0;3.73;59.0;1.2;38.0;75.0;0.4;-20.6667
"Sergio Pettis";"";18;5;0;167.64;56.7;175.26;"Orthodox";"1993-08-18";3.88;37.0;2.91;65.0;0.85;40.0;67.0;0.4;-10.913
"Seth Baczynski";"The Polish Pistola";20;14;0;190.5;77.11;190.5;"Orthodox";"1981-10-26";3.08;31.0;3.14;51.0;0.89;16.0;48.0;0.8;-58.2353
"Seth Dikun";"";9;8;0;177.8;61.23;175.26;"Orthodox";"1980-08-05";1.45;26.0;2.18;55.0;0.0;0.0;45.0;0.9;-35.2353
"Seth Petruzelli";"The Silverback";14;8;0;182.88;92.99;193.04;"Orthodox";"1979-12-03";2.17;41.0;2.08;55.0;0.46;50.0;47.0;2.3;-31.0909
"Shaheen Santana";"Shazam";6;1;0;185.42;70.31;190.5;"Orthodox";"1991-06-04";0.82;42.0;1.65;40.0;0.0;0.0;0.0;2.8;0.142857
"Shamil Abdurakhimov";"Abrek";20;8;0;190.5;106.59;193.04;"Orthodox";"1981-09-02";2.41;44.0;3.02;55.0;1.01;23.0;45.0;0.1;-25.7143
"Shamil Gaziev";"";11;0;0;193.04;120.2;198.12;"Orthodox";"1990-02-10";1.52;100.0;0.0;0.0;0.0;0.0;0.0;5.7;11.0
"Shana Olsen";"Rock Solid";5;2;0;170.18;65.77;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-6.42857
"Shane Burgos";"Hurricane";15;3;0;180.34;65.77;190.5;"Orthodox";"1991-03-19";7.4;52.0;6.78;56.0;0.43;44.0;91.0;0.4;-2.5
"Shane Campbell";"Shaolin";14;6;0;182.88;70.31;180.34;"Orthodox";"1987-01-21";3.99;59.0;3.19;55.0;1.36;28.0;82.0;0.0;-20.2
"Shane del Rosario";"";11;2;0;193.04;113.4;0.0;"Southpaw";"1983-09-23";3.93;60.0;2.97;54.0;1.2;40.0;16.0;2.4;-0.692308
"Shane Nelson";"Sugar";16;7;0;175.26;70.31;177.8;"Southpaw";"1984-11-29";1.38;31.0;2.84;61.0;1.31;18.0;54.0;1.6;-23.8696
"Shane Roller";"";11;7;0;177.8;70.31;182.88;"Orthodox";"1979-07-14";2.04;34.0;2.65;60.0;2.46;33.0;42.0;1.9;-28.2778
"Shang Zhifa";"Northeast Flying Tiger";32;8;0;170.18;56.7;160.02;"Orthodox";"1986-03-15";1.27;32.0;1.27;60.0;2.0;100.0;0.0;0.0;-14.4
"Shanna Young";"The Shanimal";9;6;0;170.18;56.7;165.1;"Orthodox";"1991-02-20";3.18;47.0;4.88;43.0;0.0;0.0;53.0;0.6;-24.6
"Shannon Gugerty";"";15;7;0;177.8;70.31;180.34;"Orthodox";"1981-12-30";1.25;39.0;1.88;58.0;2.13;27.0;50.0;3.4;-24.7727
"Shannon Ross";"The Turkish Delight";13;8;0;167.64;56.7;167.64;"Switch";"1989-05-12";6.58;38.0;8.93;52.0;0.0;0.0;100.0;0.0;-31.9524
"Shavkat Rakhmonov";"Nomad";17;0;0;185.42;77.11;195.58;"Orthodox";"1994-10-23";4.45;59.0;2.61;53.0;1.49;33.0;100.0;1.5;17.0
"Shawn Jordan";"The Savage";19;8;0;182.88;117.93;190.5;"Southpaw";"1984-10-21";2.87;50.0;3.3;47.0;1.97;38.0;76.0;0.1;-26.6296
"Shayna Baszler";"The Queen of Spades";15;11;0;170.18;61.23;0.0;"Orthodox";"1980-08-08";2.49;30.0;6.36;51.0;0.67;18.0;44.0;1.3;-46.3462
"Sheldon Westcott";"";10;3;1;185.42;77.11;180.34;"Southpaw";"1984-08-20";2.26;40.0;3.73;37.0;3.23;37.0;14.0;0.0;-7.85714
