"name";"nickname";"wins";"losses";"draws";"height_cm";"weight_in_kg";"reach_in_cm";"stance";"date_of_birth";"significant_strikes_landed_per_minute";"significant_striking_accuracy";"significant_strikes_absorbed_per_minute";"significant_strike_defence";"average_takedowns_landed_per_15_minutes";"takedown_accuracy";"takedown_defense";"average_submissions_attempted_per_15_minutes";"performance_metric"
"Gabriel Miglioli";"Biel";9;9;0;172.72;77.11;0.0;"";"";0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-40.5
"Gabriel Miranda";"Fly";17;6;0;180.34;65.77;180.34;"Orthodox";"1990-03-25";3.52;51.0;6.88;39.0;4.8;40.0;0.0;2.4;-17.4348
"Gabriel Santos";"Mosquitinho";10;2;0;175.26;65.77;177.8;"Orthodox";"1996-11-28";4.46;55.0;6.03;44.0;4.34;46.0;66.0;1.2;-1.66667
"Gabriel Silva";"";8;2;0;167.64;61.23;180.34;"Orthodox";"1994-08-26";1.3;34.0;3.47;45.0;1.5;25.0;38.0;0.5;-3.6
"Gabrielle Holloway";"Gabanator";6;5;0;160.02;65.77;0.0;"";"";0.7;42.0;3.07;34.0;3.0;35.0;16.0;1.0;-21.7273
"Gadzhi Omargadzhiev";"";13;2;0;185.42;77.11;180.34;"Switch";"1993-02-24";1.8;39.0;2.2;39.0;1.35;30.0;60.0;0.5;1.26667
"Gadzhimurad Antigulov";"";20;8;0;180.34;92.99;177.8;"Orthodox";"1987-02-09";2.08;55.0;4.21;40.0;5.08;36.0;0.0;1.4;-25.7143
"Garett Whiteley";"Goodnight";7;3;0;182.88;70.31;182.88;"Orthodox";"1980-12-13";3.72;48.0;4.04;46.0;0.0;0.0;27.0;0.9;-10.1
"Garreth McLellan";"Soldier Boy";13;6;0;185.42;83.91;182.88;"Southpaw";"1982-09-01";3.56;54.0;2.94;45.0;1.15;22.0;34.0;0.9;-21.1053
"Garrett Armfield";"";9;3;0;167.64;61.23;177.8;"Orthodox";"1996-10-09";5.29;44.0;3.52;57.0;0.0;0.0;75.0;0.0;-8.25
"Gary Goodridge";"Big Daddy";23;22;1;190.5;112.94;0.0;"Orthodox";"1966-01-17";1.84;56.0;2.14;48.0;0.4;100.0;53.0;0.8;-98.5
"Gary Padilla";"";12;6;0;180.34;92.99;0.0;"";"";2.2;27.0;2.0;76.0;0.0;0.0;50.0;0.0;-22.0
"Gaston Reyno";"Tonga";6;2;0;182.88;65.77;0.0;"";"";7.79;62.0;3.9;44.0;0.0;0.0;0.0;11.7;-5.5
"Gavin Tucker";"Guv'nor";13;3;0;167.64;65.77;167.64;"Southpaw";"1986-06-17";4.29;44.0;4.18;57.0;3.13;44.0;53.0;1.5;-4.4375
"Geane Herrera";"La Pulga";9;3;0;165.1;56.7;167.64;"Orthodox";"1990-05-27";1.51;31.0;5.07;52.0;0.83;37.0;38.0;0.6;-8.25
"Gegard Mousasi";"";42;6;2;187.96;83.91;193.04;"Orthodox";"1985-08-01";3.75;50.0;1.21;68.0;1.59;60.0;59.0;1.1;5.28
"Genaro Valdez";"Rayadito";10;3;0;175.26;70.31;182.88;"Orthodox";"1992-01-16";4.08;30.0;7.16;48.0;1.54;44.0;36.0;0.4;-7.30769
"Genki Sudo";"Neo-Samurai";15;4;2;175.26;70.31;0.0;"Orthodox";"1978-03-08";1.55;39.0;2.23;33.0;3.58;60.0;50.0;4.2;-9.28571
"Geoff Neal";"Handz of Steel";15;5;0;180.34;77.11;190.5;"Southpaw";"1990-08-28";5.22;50.0;5.6;58.0;0.51;44.0;87.0;0.1;-13.75
"George Pacurariu";"Constantine";10;5;0;170.18;61.23;0.0;"";"";4.69;53.0;2.68;63.0;5.03;100.0;100.0;5.0;-18.3333
